Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs,Pharmacodia ID
CD62P,"CD62P,GRMP,SELP","Inflammation and Autoimmunity,Cardiovascular",F0,No,,97240823256319916544
CD38,CD38,Oncology,F0,No,,25217404131691916667
CCR9,"CCR9,GPR28,CC-CKR-9",Oncology,F0,No,,30830199674784916418
CD36,"CD36,FAT,GP3B","Oncology,Cardiovascular",F0,No,,
ADORA2A,"A2aR,RDC8,ADORA2",Oncology,F0,No,,88162081516013916957
BAFF,"BAFF,CD257,TNFSF20","Oncology,Inflammation and Autoimmunity",F0,No,,37537348212294916131
CD6,"CD6,TP120","Oncology,Inflammation and Autoimmunity,Metabolism",F0,No,,85032835843070916379
CD52,"CD52,HE5,EDDM5","Oncology,Inflammation and Autoimmunity",F0,No,,31236955043971916769
ANGPTL4,"ANGPTL4,NL2,ARP4","Oncology,Metabolism",F0,No,,
CD133,"CD133,RP41,AC133",Oncology,F0,No,,03258932679204916690
CD8,"CD8,p32,Leu2","Oncology,Inflammation and Autoimmunity",F0,No,,
CD63,"CD63,MLA1,TSPAN30","Oncology,Inflammation and Autoimmunity",F0,No,,
CAXII,"CAXII,CA-XII,T18816",Oncology,F0,No,,
CLDN3,"CLDN3,RVP1,CPETR2",Oncology,F0,No,,
AGR-2,"AGR-2,GOB-4,HAG-2","Oncology,Inflammation and Autoimmunity",F0,No,,
ASCT2,"ASCT2,ATBO,M7VS1",Oncology,F0,No,,
BSPII,"BSP,BNSP,BSPII",Oncology,F0,No,,
CD166,"MEMD,CD166","Oncology,Inflammation and Autoimmunity",F0,No,,
CLDN4,"CLDN4,CPER,WBSCR8",Oncology,F0,No,,
CD23,"CD23,FCE2","Oncology,Inflammation and Autoimmunity",F0,No,,15892773237899916950
CD80,"CD80,B7-1,CD28LG","Oncology,Inflammation and Autoimmunity",F0,No,,43796496802684916248
CD15,"CD15,FCT3A,FUTIV","Oncology,Inflammation and Autoimmunity",F0,No,,
CCL5,"CCL5,SCYA5,RANTES",Inflammation and Autoimmunity,F0,No,,08111791541898916898
CCL24,"CCL24,Ckb-6,MPIF2","Inflammation and Autoimmunity,Metabolism,Infectious Diseases",F0,No,,
CXCL13,"CXCL13,BLC,ANGIE","Oncology,Inflammation and Autoimmunity,Infectious Diseases",F0,No,,
CD54,"BB2,CD54,P3.58","Oncology,Inflammation and Autoimmunity",F0,No,,66894713897960916329
CSF2RA,"CSF2RA,CD116,CSF2R",Inflammation and Autoimmunity,F0,No,,
AFP,"AFP,FETA,HPAFP",Oncology,F0,No,,95697457469445916103
FCRL5,"FCRL5,CD307,IRTA2",Oncology,F0,No,,
CLU,"CLU,APOJ,SGP2",Oncology,F0,No,,92936647445121916406
CFB,"CFB,PBF2,AHUS4","Inflammation and Autoimmunity,Ophthalmology,Infectious Diseases,Others,Urological Diseases,Cardiovascular",F0,No,,44317419277371916393
CD7,"CD7,GP40,TP41","Oncology,Infectious Diseases",F0,No,,81011440780449916714
CD5,"CD5,T1,LEU1","Oncology,Inflammation and Autoimmunity,Metabolism,Others",F0,No,,
CD43,"LSN,CD43,GALGP,GPL115",Oncology,F0,No,,
CD300a,"CD300a,IRC1,CMRF35H",Inflammation and Autoimmunity,F0,No,,
CDCP1,"CDCP1,CD318,TRASK",Oncology,F0,No,,
DKK2,DKK-2,Oncology,F0,No,,
ANXA1,"ANXA1,ANX1,LPC1","Inflammation and Autoimmunity,Neuroscience,Infectious Diseases,Cardiovascular,Reproductive System Diseases",F0,No,,
AREG,"AREG,SDGF,AREGB",Oncology,F0,No,,
CD48,"CD48,BCM1,BLAST","Inflammation and Autoimmunity,Oncology,Gastrointestinal",F0,No,,31604609394284916839
CD83,"CD83,BL11,HB15","Inflammation and Autoimmunity,Oncology",F0,No,,
CFI,"CFI,AHUS3,C3BINA","Inflammation and Autoimmunity,Neuroscience",F0,No,,
APLN,"APLN,APEL,XNPEP2","Oncology,Ophthalmology",F0,No,,
BST2,"BST2,CD317,TETHERIN",Oncology,F0,No,,
FGF21,FGF21,Metabolism,F0,No,,34575248282844916742
CD46,"CD46,MCP,TLX",Oncology,F0,No,,66828665893569916636
CD49b,"CD49b,HPA-5,VLA-2","Inflammation and Autoimmunity,Cardiovascular,Oncology,Others",F0,No,,41769138261362916519
G-CSFR,G-CSFR,"Inflammation and Autoimmunity,Oncology,Others,Cardiovascular",F0,No,,82657388042681916136
ARTN,"ARTN,NBN,ENOVIN",Oncology,F0,No,,
CD151,"CD151,GP27,TSPAN24",Oncology,F0,No,,
CD69,"CD69,MLR-3,CLEC2C",Oncology,F0,No,,
CRTAM,"CRTAM,CD355",Oncology,F0,No,,
